year,type,country,activity,sex,age,species,fatal_y_n
1982.0,Unprovoked,SOUTH AFRICA,Surfing,M,16,Large Predatory Sharks,N
1976.0,Unprovoked,USA,Swimming,M,16,Other Category,Y
1967.0,Provoked,AUSTRALIA,Spearfishing,M,36,Other Named Sharks,N
1966.0,Unprovoked,USA,Swimming,M,35,Large Predatory Sharks,N
1965.0,Unprovoked,MEXICO,Swimming,M,35,Other Category,N
1963.0,Unprovoked,SOUTH AFRICA,Swimming,M,18,Other Category,Y
1962.0,Unprovoked,AUSTRALIA,Spearfishing,M,16,Large Predatory Sharks,Y
1962.0,Unprovoked,AUSTRALIA,Swimming,M,35,Other Category,N
1961.0,Unprovoked,USA,Swimming,M,16,Large Predatory Sharks,N
1946.0,Watercraft,AUSTRALIA,Fishing,M,28,Other Category,N
1944.0,Unprovoked,SOUTH AFRICA,Swimming,M,26,Other Category,Y
1922.0,Unprovoked,SOUTH AFRICA,Swimming,M,18,Large Predatory Sharks,N
1920.0,Unprovoked,USA,Swimming,M,13,Other Category,N
2023.0,Unprovoked,USA,Spearfishing,M,22,Other Category,N
2022.0,Unprovoked,USA,Spearfishing,M,26,Other Category,N
2022.0,Unprovoked,USA,Surfing,M,20,Other Category,N
2021.0,Unprovoked,AUSTRALIA,Spearfishing,M,24,Large Predatory Sharks,N
2021.0,Unprovoked,BRAZIL,Surfing,M,52,Other Category,N
2018.0,Unprovoked,AUSTRALIA,Surfing,M,36,Other Category,N
2017.0,Unprovoked,USA,Surfing,F,35,Other Category,N
2017.0,Unprovoked,AUSTRALIA,Surfing,M,25,Large Sharks (Size-Based),N
2016.0,Unprovoked,USA,Surfing,M,41,Other Category,N
2016.0,Unprovoked,USA,Swimming,F,51,Large Predatory Sharks,N
2016.0,Unprovoked,USA,Swimming,M,64,Other Category,N
2015.0,Unprovoked,USA,Surfing,M,25,Small Sharks (Size-Based),N
2014.0,Unprovoked,USA,Surfing,M,29,Large Predatory Sharks,N
2013.0,Unprovoked,USA,Surfing,F,13,Small Sharks (Size-Based),N
2013.0,Unprovoked,USA,Fishing,M,17,Large Predatory Sharks,N
2012.0,Unprovoked,AUSTRALIA,Spearfishing,M,31,Large Predatory Sharks,N
2012.0,Unprovoked,USA,Surfing,M,37,Other Category,N
2011.0,Unprovoked,AUSTRALIA,Surfing,M,14,Other Named Sharks,N
2009.0,Unprovoked,BAHAMAS,Spearfishing,M,14,Large Predatory Sharks,N
2009.0,Unprovoked,SOUTH AFRICA,Surfing,M,16,Other Category,Y
2009.0,Unprovoked,USA,Surfing,F,17,Small Sharks (Size-Based),N
2008.0,Unprovoked,USA,Swimming,M,32,Small Sharks (Size-Based),N
2008.0,Unprovoked,USA,Surfing,M,19,Other Category,N
2008.0,Unprovoked,MEXICO,Surfing,M,24,Large Predatory Sharks,Y
2005.0,Unprovoked,USA,Surfing,M,16,Other Category,N
2003.0,Unprovoked,USA,Swimming,M,13,Other Category,N
2003.0,Unprovoked,USA,Surfing,M,46,Other Category,N
2003.0,Unprovoked,USA,Swimming,M,54,Other Category,N
2002.0,Unprovoked,USA,Surfing,M,28,Large Sharks (Size-Based),N
2001.0,Unprovoked,USA,Surfing,M,16,Other Category,N
2001.0,Unprovoked,USA,Swimming,M,14,Large Sharks (Size-Based),N
2000.0,Unprovoked,USA,Swimming,M,55,Large Predatory Sharks,N
1998.0,Unprovoked,BRAZIL,Surfing,M,17,Other Category,N
1994.0,Unprovoked,SOUTH AFRICA,Surfing,M,22,Large Predatory Sharks,Y
1994.0,Unprovoked,USA,Surfing,M,15,Small Sharks (Size-Based),N
1993.0,Unprovoked,USA,Swimming,F,26,Large Predatory Sharks,N
1987.0,Unprovoked,AUSTRALIA,Surfing,M,18,Large Predatory Sharks,N
1985.0,Provoked,SOUTH AFRICA,Spearfishing,M,20,Large Sharks (Size-Based),N
1983.0,Unprovoked,SOUTH AFRICA,Fishing,M,27,Other Named Sharks,N
1981.0,Unprovoked,USA,Surfing,M,24,Large Predatory Sharks,Y
1972.0,Unprovoked,USA,Surfing,M,17,Other Category,N
1963.0,Unprovoked,USA,Swimming,M,25,Large Sharks (Size-Based),Y
1961.0,Provoked,AUSTRALIA,Spearfishing,M,23,Other Named Sharks,N
1950.0,Unprovoked,AUSTRALIA,Fishing,M,25,Small Sharks (Size-Based),N
1947.0,Unprovoked,BRAZIL,Swimming,M,25,Other Category,Y
1938.0,Provoked,AUSTRALIA,Fishing,M,18,Large Predatory Sharks,N
1934.0,Unprovoked,USA,Swimming,M,11,Other Category,N
1930.0,Unprovoked,SOUTH AFRICA,Swimming,M,23,Large Predatory Sharks,N
1870.0,Unprovoked,AUSTRALIA,Fishing,M,13,Other Category,N
2023.0,Unprovoked,USA,Swimming,M,47,Other Category,N
2022.0,Provoked,USA,Fishing,M,29,Other Category,N
2019.0,Unprovoked,USA,Surfing,M,18,Large Predatory Sharks,N
2019.0,Unprovoked,AUSTRALIA,Swimming,M,25,Small Sharks (Size-Based),N
2018.0,Unprovoked,USA,Swimming,M,10,Other Category,N
2017.0,Unprovoked,USA,Swimming,M,13,Large Predatory Sharks,N
2017.0,Unprovoked,USA,Swimming,M,46,Large Predatory Sharks,N
2017.0,Provoked,MEXICO,Fishing,M,32,Large Predatory Sharks,N
2017.0,Unprovoked,USA,Swimming,F,16,Other Category,N
2016.0,Unprovoked,USA,Surfing,F,9,Other Category,N
2016.0,Provoked,AUSTRALIA,Spearfishing,M,19,Small Sharks (Size-Based),N
2016.0,Unprovoked,USA,Swimming,M,48,Large Predatory Sharks,N
2015.0,Unprovoked,AUSTRALIA,Surfing,M,40,Large Predatory Sharks,N
2014.0,Unprovoked,AUSTRALIA,Spearfishing,M,17,Large Predatory Sharks,Y
2014.0,Unprovoked,USA,Surfing,M,21,Other Category,N
2009.0,Unprovoked,AUSTRALIA,Surfing,M,31,Large Predatory Sharks,N
2007.0,Unprovoked,USA,Swimming,F,15,Other Category,N
2007.0,Unprovoked,USA,Swimming,M,14,Small Sharks (Size-Based),N
2007.0,Unprovoked,USA,Surfing,M,24,Small Sharks (Size-Based),N
2006.0,Unprovoked,AUSTRALIA,Surfing,M,15,Large Predatory Sharks,N
2006.0,Unprovoked,USA,Surfing,F,28,Large Predatory Sharks,N
2005.0,Unprovoked,USA,Surfing,M,17,Other Category,N
